iter	Passed	Remaining
433	1937	2527
434	1945	2527
435	1947	2519
436	1981	2552
437	1984	2546
438	1988	2541
439	1999	2545
440	2008	2545
441	2010	2537
442	2012	2529
443	2014	2522
444	2016	2514
445	2018	2507
446	2022	2502
447	2040	2514
448	2043	2508
449	2047	2502
450	2050	2495
451	2052	2488
452	2054	2481
453	2056	2473
454	2058	2466
455	2060	2458
456	2062	2451
457	2065	2444
458	2068	2437
459	2071	2431
460	2075	2426
461	2078	2420
462	2084	2418
463	2088	2412
464	2093	2408
465	2105	2412
466	2107	2405
467	2111	2399
468	2115	2395
469	2118	2388
470	2145	2409
471	2150	2406
472	2155	2401
473	2157	2394
474	2159	2386
475	2176	2396
476	2179	2389
477	2182	2383
478	2188	2380
479	2190	2373
480	2192	2365
481	2193	2357
482	2195	2349
483	2196	2342
484	2198	2334
485	2203	2330
486	2204	2322
487	2206	2314
488	2208	2307
489	2209	2299
490	2216	2298
491	2218	2290
492	2220	2283
493	2222	2276
494	2224	2269
495	2225	2261
496	2227	2253
497	2228	2246
498	2231	2240
499	2233	2233
500	2234	2225
501	2236	2218
502	2238	2211
503	2239	2203
504	2244	2199
505	2246	2192
506	2247	2185
507	2248	2178
508	2250	2170
509	2255	2167
510	2257	2160
511	2261	2155
512	2263	2149
513	2265	2142
514	2267	2135
515	2268	2128
516	2270	2121
517	2272	2114
518	2278	2112
519	2281	2106
520	2284	2100
521	2286	2093
522	2288	2087
523	2294	2084
524	2296	2078
525	2298	2071
526	2300	2064
527	2303	2058
528	2306	2054
529	2308	2047
530	2309	2040
531	2311	2033
532	2314	2027
533	2315	2020
534	2318	2014
535	2321	2009
536	2322	2002
537	2324	1995
538	2325	1989
539	2327	1982
540	2328	1975
541	2330	1969
542	2331	1962
543	2334	1956
544	2337	1951
545	2339	1945
546	2341	1939
547	2343	1932
548	2344	1926
549	2346	1919
550	2348	1913
551	2354	1910
552	2366	1913
553	2368	1906
554	2372	1902
555	2375	1896
556	2377	1890
557	2378	1884
558	2380	1878
559	2382	1871
560	2383	1865
561	2385	1859
562	2388	1854
563	2391	1848
564	2392	1842
565	2394	1835
566	2395	1829
567	2397	1823
568	2399	1817
569	2401	1811
570	2403	1805
571	2404	1799
572	2406	1793
573	2410	1789
574	2413	1783
575	2417	1779
576	2419	1774
577	2422	1768
578	2424	1762
579	2425	1756
580	2427	1750
581	2429	1744
582	2432	1739
583	2434	1734
584	2436	1728
585	2437	1722
586	2439	1716
587	2441	1710
588	2442	1704
589	2444	1698
590	2447	1693
591	2450	1688
592	2452	1683
593	2455	1678
594	2463	1676
595	2466	1672
596	2468	1666
597	2470	1660
598	2472	1655
599	2475	1650
600	2477	1645
601	2484	1642
602	2486	1637
603	2489	1631
604	2493	1627
605	2498	1624
606	2500	1618
607	2502	1613
608	2503	1607
609	2507	1602
610	2509	1597
611	2511	1592
612	2513	1586
613	2514	1580
614	2516	1575
615	2518	1569
616	2521	1565
617	2525	1561
618	2527	1555
619	2549	1562
620	2558	1561
621	2561	1556
622	2563	1551
623	2565	1545
624	2568	1541
625	2570	1535
626	2574	1531
627	2578	1527
628	2581	1522
629	2584	1518
630	2587	1513
631	2589	1507
632	2593	1503
633	2598	1500
634	2602	1496
635	2607	1492
636	2627	1497
637	2632	1493
638	2635	1488
639	2637	1483
640	2639	1478
641	2668	1487
642	2670	1482
643	2680	1481
644	2682	1476
645	2684	1471
646	2687	1466
647	2699	1466
648	2701	1461
649	2703	1455
650	2706	1450
651	2721	1452
652	2726	1448
653	2729	1443
654	2731	1438
655	2733	1433
656	2734	1427
657	2736	1422
658	2741	1418
659	2743	1413
660	2745	1408
661	2747	1402
662	2749	1397
663	2752	1392
664	2763	1392
665	2769	1389
666	2777	1386
667	2778	1381
668	2781	1376
669	2783	1371
670	2785	1365
671	2791	1362
672	2793	1357
673	2795	1352
674	2800	1348
675	2814	1349
676	2824	1347
677	2825	1342
678	2827	1336
679	2829	1331
680	2831	1326
681	2834	1321
682	2838	1317
683	2843	1313
684	2845	1308
685	2847	1303
686	2849	1298
687	2854	1294
688	2862	1292
689	2864	1286
690	2867	1282
691	2874	1279
692	2882	1276
693	2889	1273
694	2890	1268
695	2892	1263
696	2893	1258
697	2895	1252
698	2897	1247
699	2902	1243
700	2905	1239
701	2906	1233
702	2908	1228
703	2909	1223
704	2911	1218
705	2912	1212
706	2915	1208
707	2916	1203
708	2918	1197
709	2920	1192
710	2924	1188
711	2927	1184
712	2930	1179
713	2932	1174
714	2934	1169
715	2936	1164
716	2938	1159
717	2941	1155
718	2970	1160
719	2973	1156
720	2979	1152
721	2982	1148
722	2984	1143
723	2986	1138
724	2988	1133
725	2990	1128
726	2994	1124
727	2995	1119
728	2997	1114
729	2999	1109
730	3001	1104
731	3007	1101
732	3009	1096
733	3011	1091
734	3039	1095
735	3045	1092
736	3047	1087
737	3049	1082
738	3058	1080
739	3060	1075
740	3064	1070
741	3070	1067
742	3072	1062
743	3074	1057
744	3077	1053
745	3083	1049
746	3087	1045
747	3089	1040
748	3090	1035
749	3092	1030
750	3094	1026
751	3096	1021
752	3102	1017
753	3104	1012
754	3105	1007
755	3107	1003
756	3109	998
757	3114	994
758	3116	989
759	3119	984
760	3121	980
761	3122	975
762	3124	970
763	3126	965
764	3131	961
765	3133	957
766	3135	952
767	3137	947
768	3154	947
769	3164	945
770	3168	941
771	3170	936
772	3178	933
773	3181	928
774	3183	924
775	3185	919
776	3190	915
777	3194	911
778	3196	906
779	3198	902
780	3199	897
781	3208	894
782	3213	890
783	3215	886
784	3218	881
785	3222	877
786	3224	872
787	3226	868
788	3228	863
789	3230	858
790	3231	853
791	3233	849
792	3237	845
793	3240	840
794	3241	835
795	3243	831
796	3245	826
797	3247	821
798	3249	817
799	3251	812
800	3253	808
801	3256	804
802	3258	799
803	3260	794
804	3262	790
805	3264	785
806	3268	781
807	3271	777
808	3273	772
809	3275	768
810	3276	763
811	3278	759
812	3282	755
813	3284	750
814	3287	746
815	3289	741
816	3290	737
817	3292	732
818	3305	730
819	3307	726
820	3309	721
821	3317	718
822	3330	716
823	3346	714
824	3349	710
825	3351	706
826	3367	704
827	3376	701
828	3379	697
829	3381	692
830	3382	687
831	3384	683
832	3387	679
833	3393	675
834	3394	670
835	3396	666
836	3398	661
837	3400	657
838	3402	652
839	3407	649
840	3409	644
841	3411	640
842	3413	635
843	3484	643
844	3494	641
845	3497	636
846	3499	632
847	3507	628
848	3511	624
849	3521	621
850	3527	617
851	3529	613
852	3542	610
853	3586	613
854	3590	608
855	3593	604
856	3595	599
857	3599	595
858	3604	591
859	3607	587
860	3618	584
861	3621	579
862	3623	575
863	3625	570
864	3627	566
865	3638	562
866	3640	558
867	3643	554
868	3646	549
869	3649	545
870	3657	541
871	3679	540
872	3682	535
873	3684	531
874	3687	526
875	3699	523
876	3703	519
877	3749	520
878	3753	516
879	3757	512
880	3759	507
881	3762	503
882	3764	498
883	3769	494
884	3772	490
885	3774	485
886	3798	483
887	3801	479
888	3819	476
889	3870	478
890	3873	473
891	3875	469
892	3877	464
893	3881	460
894	3883	455
895	3885	451
896	3887	446
897	3889	441
898	3893	437
899	3896	432
900	3916	430
901	3932	427
902	3955	424
903	3962	420
904	3964	416
905	3967	411
906	3969	407
907	3971	402
908	3973	397
909	3976	393
910	3988	389
911	3993	385
912	3996	380
913	3997	376
914	4000	371
915	4004	367
916	4013	363
917	4019	359
918	4026	354
919	4029	350
920	4032	345
921	4035	341
922	4038	336
923	4044	332
924	4050	328
925	4057	324
926	4060	319
927	4064	315
928	4066	310
929	4069	306
930	4072	301
931	4089	298
932	4100	294
933	4104	290
934	4107	285
935	4108	280
936	4110	276
937	4113	271
938	4115	267
939	4117	262
940	4118	258
941	4120	253
942	4121	249
943	4129	244
944	4133	240
945	4143	236
946	4146	232
947	4148	227
948	4150	223
949	4153	218
950	4163	214
951	4165	210
952	4167	205
953	4168	201
954	4170	196
955	4171	191
956	4174	187
957	4176	183
958	4178	178
959	4179	174
960	4180	169
961	4182	165
962	4183	160
963	4184	156
964	4185	151
965	4188	147
966	4190	142
967	4191	138
968	4192	134
969	4194	129
970	4195	125
971	4196	120
972	4198	116
973	4199	112
974	4200	107
975	4203	103
976	4205	98
977	4206	94
978	4207	90
979	4208	85
980	4210	81
981	4211	77
982	4212	72
983	4214	68
984	4215	64
985	4217	59
986	4219	55
987	4221	51
988	4222	46
989	4223	42
990	4225	38
991	4226	34
992	4227	29
993	4228	25
994	4230	21
995	4231	16
996	4234	12
997	4235	8
998	4237	4
999	4238	0
